category,lat,lon
bank,52.0921500,23.6940444
cafe,53.4894603,26.7326801
cafe,53.4891897,26.7323024
cafe,53.4909100,26.7378783
cafe,52.0919614,23.6936925
shop_grocery,53.4880611,26.7466756
restaurant,52.0853561,23.6925557
shop_grocery,53.4827553,26.7484549
station,53.5967897,27.8594277
station,52.9522133,27.9085136
post_office,52.0938961,23.6840063
station,53.5606646,28.0125479
station,52.9588204,27.9692007
post_office,52.7919163,28.0002922
post_office,52.0938539,23.6857885
fap,53.6465924,27.9208712
station,53.5475555,28.0657681
station,53.4167575,28.2571271
station,53.4369661,28.2285873
station,53.0407059,28.2695632
station,53.0802252,28.2917227
station,53.1204980,28.3261367
station,53.1465084,28.4282095
station,53.4633029,28.1828642
shop_grocery,53.5462636,28.1672692
station,53.0148155,28.1678067
shop_grocery,52.0947400,23.6889700
fap,53.0164350,27.5582187
station,52.9975836,27.5863226
shop_grocery,52.0991453,23.6913166
shop_grocery,52.0988799,23.6916781
station,52.9125593,27.5479656
shop_grocery,52.0901309,23.6797184
fap,53.0443900,27.5928500
shop_grocery,52.1019700,23.6803400
bank,52.0892543,23.6742188
shop_grocery,52.0882541,23.6891729
station,52.9581517,27.5224471
shop_grocery,52.0951814,23.6909898
shop_grocery,52.0971186,23.6859297
bank,52.0970965,23.6885079
bank,52.0949989,23.6841010
station,52.9804071,27.7551046
cafe,52.0895537,23.6751271
restaurant,52.0951720,23.6884471
cafe,52.0968500,23.6770600
station,52.9836398,27.6952268
restaurant,52.0969213,23.6815907
station,52.9631356,27.8208808
station,52.2521523,29.9246550
station,52.2911984,30.0007708
station,52.2551481,29.8281718
station,52.1762674,29.8807512
station,52.1575771,23.6154818
station,52.1413703,29.9030095
station,52.3256456,30.0923066
station,52.3424040,30.3066569
shop_grocery,52.2669788,30.2547529
post_office,52.1049292,23.6532427
shop_grocery,52.0920194,23.6650867
shop_grocery,52.3578100,30.4183300
shop_grocery,52.3555581,30.4163848
post_office,52.3586803,30.4233242
pool,52.3655000,30.4052900
station,52.3682481,30.5857772
restaurant,52.3590400,30.4239300
cafe,52.3592539,30.4208226
school,52.3666693,30.4261048
post_office,52.3682763,30.3934888
station,52.2382827,23.5258272
station,51.5785414,23.6078650
station,51.5513495,23.6123401
post_office,52.3666490,30.4016420
school,52.3663958,30.3820977
station,52.2577075,23.4947525
station,51.8046473,23.6442187
station,51.9246491,23.6536701
station,51.9415218,23.6635557
station,51.6248624,23.5930967
station,51.6602161,23.5908410
station,51.6088427,23.5982291
station,51.7312313,23.6235398
station,51.8393507,23.6346750
station,51.8811107,23.6406818
station,51.7633696,23.6465585
shop_grocery,52.3525391,30.4059340
station,52.2083480,23.5818418
shop_grocery,52.3668465,30.3987675
shop_grocery,51.7803447,29.5071112
station,52.3136561,29.4456477
station,52.3628204,29.4712636
station,52.1610258,29.4928064
station,52.1830625,29.3666442
station,52.2699834,29.4202230
station,52.1588050,29.3521378
station,52.0196043,30.0046572
station,52.0518513,29.9951843
station,52.0946885,29.9936494
station,52.2509275,29.7363228
station,52.2218512,29.6710340
station,52.1971687,29.6156062
station,52.1652448,29.0248543
station,51.7286871,29.1116079
station,52.1591905,29.1016453
school,52.0585700,29.1994100
fap,51.8050892,29.1774128
station,51.8212417,29.1536216
