year,origin_oblast,dest_oblast,age_group,migrants
2009,BY-HR,BY-BR,25-29,387
2009,BY-HR,BY-BR,30-34,164
2009,BY-HR,BY-BR,35-39,116
2009,BY-HR,BY-BR,40-44,95
2009,BY-HR,BY-BR,45-49,64
2009,BY-HR,BY-BR,5-9,80
2009,BY-HR,BY-BR,50-54,57
2009,BY-HR,BY-BR,55-59,44
2009,BY-HR,BY-BR,60-64,15
2009,BY-HR,BY-BR,65-69,24
2009,BY-HR,BY-BR,70-74,26
2009,BY-HR,BY-BR,75-79,31
2009,BY-HR,BY-BR,80 и старше,47
2009,BY-HR,BY-HM,0-4,129
2009,BY-HR,BY-HM,10-14,150
2009,BY-HR,BY-HM,15-19,4327
2009,BY-HR,BY-HM,20-24,4324
2009,BY-HR,BY-HM,25-29,801
2009,BY-HR,BY-HM,30-34,290
2009,BY-HR,BY-HM,35-39,224
2009,BY-HR,BY-HM,40-44,156
2009,BY-HR,BY-HM,45-49,119
2009,BY-HR,BY-HM,5-9,126
2009,BY-HR,BY-HM,50-54,91
2009,BY-HR,BY-HM,55-59,78
2009,BY-HR,BY-HM,60-64,41
2009,BY-HR,BY-HM,65-69,42
2009,BY-HR,BY-HM,70-74,38
2009,BY-HR,BY-HM,75-79,53
2009,BY-HR,BY-HM,80 и старше,110
2009,BY-HR,BY-HO,0-4,18
2009,BY-HR,BY-HO,10-14,32
2009,BY-HR,BY-HO,15-19,244
2009,BY-HR,BY-HO,20-24,353
2009,BY-HR,BY-HO,25-29,106
2009,BY-HR,BY-HO,30-34,86
2009,BY-HR,BY-HO,35-39,75
2009,BY-HR,BY-HO,40-44,65
2009,BY-HR,BY-HO,45-49,53
2009,BY-HR,BY-HO,5-9,13
2009,BY-HR,BY-HO,50-54,40
2009,BY-HR,BY-HO,55-59,18
2009,BY-HR,BY-HO,60-64,13
2009,BY-HR,BY-HO,65-69,12
2009,BY-HR,BY-HO,70-74,17
2009,BY-HR,BY-HO,75-79,7
2009,BY-HR,BY-HO,80 и старше,12
2009,BY-HR,BY-HR,0-4,815
2009,BY-HR,BY-HR,10-14,686
2009,BY-HR,BY-HR,15-19,9048
2009,BY-HR,BY-HR,20-24,7392
2009,BY-HR,BY-HR,25-29,3119
2009,BY-HR,BY-HR,30-34,1819
2009,BY-HR,BY-HR,35-39,1270
2009,BY-HR,BY-HR,40-44,906
2009,BY-HR,BY-HR,45-49,813
2009,BY-HR,BY-HR,5-9,863
2009,BY-HR,BY-HR,50-54,649
2009,BY-HR,BY-HR,55-59,429
2009,BY-HR,BY-HR,60-64,305
2009,BY-HR,BY-HR,65-69,282
2009,BY-HR,BY-HR,70-74,277
2009,BY-HR,BY-HR,75-79,327
2009,BY-HR,BY-HR,80 и старше,513
2009,BY-HR,BY-HR,Возраст не определен,1
2009,BY-HR,BY-MA,0-4,23
2009,BY-HR,BY-MA,10-14,30
2009,BY-HR,BY-MA,15-19,313
2009,BY-HR,BY-MA,20-24,504
2009,BY-HR,BY-MA,25-29,231
2009,BY-HR,BY-MA,30-34,154
2009,BY-HR,BY-MA,35-39,129
2009,BY-HR,BY-MA,40-44,98
2009,BY-HR,BY-MA,45-49,65
2009,BY-HR,BY-MA,5-9,21
2009,BY-HR,BY-MA,50-54,50
2009,BY-HR,BY-MA,55-59,32
2009,BY-HR,BY-MA,60-64,11
2009,BY-HR,BY-MA,65-69,5
2009,BY-HR,BY-MA,70-74,9
2009,BY-HR,BY-MA,75-79,6
2009,BY-HR,BY-MA,80 и старше,12
2009,BY-HR,BY-MA,Возраст не определен,1
2009,BY-HR,BY-MI,0-4,115
2009,BY-HR,BY-MI,10-14,111
2009,BY-HR,BY-MI,15-19,1867
2009,BY-HR,BY-MI,20-24,1274
2009,BY-HR,BY-MI,25-29,516
2009,BY-HR,BY-MI,30-34,222
2009,BY-HR,BY-MI,35-39,171
2009,BY-HR,BY-MI,40-44,145
2009,BY-HR,BY-MI,45-49,118
2009,BY-HR,BY-MI,5-9,126
2009,BY-HR,BY-MI,50-54,68
2009,BY-HR,BY-MI,55-59,49
2009,BY-HR,BY-MI,60-64,39
2009,BY-HR,BY-MI,65-69,32
2009,BY-HR,BY-MI,70-74,38
2009,BY-HR,BY-MI,75-79,53
2009,BY-HR,BY-MI,80 и старше,73
2009,BY-HR,BY-VI,0-4,26
2009,BY-HR,BY-VI,10-14,29
2009,BY-HR,BY-VI,15-19,461
2009,BY-HR,BY-VI,20-24,577
2009,BY-HR,BY-VI,25-29,197
2009,BY-HR,BY-VI,30-34,136
2009,BY-HR,BY-VI,35-39,97
2009,BY-HR,BY-VI,40-44,72
2009,BY-HR,BY-VI,45-49,49
2009,BY-HR,BY-VI,5-9,26
2009,BY-HR,BY-VI,50-54,39
2009,BY-HR,BY-VI,55-59,31
2009,BY-HR,BY-VI,60-64,19
2009,BY-HR,BY-VI,65-69,13
2009,BY-HR,BY-VI,70-74,12
2009,BY-HR,BY-VI,75-79,14
2009,BY-HR,BY-VI,80 и старше,23
2009,BY-MA,BY-BR,0-4,47
2009,BY-MA,BY-BR,10-14,23
2009,BY-MA,BY-BR,15-19,217
2009,BY-MA,BY-BR,20-24,421
2009,BY-MA,BY-BR,25-29,192
2009,BY-MA,BY-BR,30-34,52
2009,BY-MA,BY-BR,35-39,41
2009,BY-MA,BY-BR,40-44,27
2009,BY-MA,BY-BR,45-49,29
2009,BY-MA,BY-BR,5-9,19
2009,BY-MA,BY-BR,50-54,28
2009,BY-MA,BY-BR,55-59,17
2009,BY-MA,BY-BR,60-64,17
2009,BY-MA,BY-BR,65-69,5
2009,BY-MA,BY-BR,70-74,12
2009,BY-MA,BY-BR,75-79,15
2009,BY-MA,BY-BR,80 и старше,19
2009,BY-MA,BY-HM,0-4,86
2009,BY-MA,BY-HM,10-14,153
2009,BY-MA,BY-HM,15-19,2634
2009,BY-MA,BY-HM,20-24,3396
2009,BY-MA,BY-HM,25-29,766
2009,BY-MA,BY-HM,30-34,298
2009,BY-MA,BY-HM,35-39,203
2009,BY-MA,BY-HM,40-44,114
2009,BY-MA,BY-HM,45-49,91
2009,BY-MA,BY-HM,5-9,115
2009,BY-MA,BY-HM,50-54,100
2009,BY-MA,BY-HM,55-59,70
2009,BY-MA,BY-HM,60-64,52
2009,BY-MA,BY-HM,65-69,37
2009,BY-MA,BY-HM,70-74,44
2009,BY-MA,BY-HM,75-79,72
2009,BY-MA,BY-HM,80 и старше,151
2009,BY-MA,BY-HO,0-4,77
2009,BY-MA,BY-HO,10-14,77
2009,BY-MA,BY-HO,15-19,1003
2009,BY-MA,BY-HO,20-24,1247
2009,BY-MA,BY-HO,25-29,478
2009,BY-MA,BY-HO,30-34,398
2009,BY-MA,BY-HO,35-39,258
2009,BY-MA,BY-HO,40-44,245
2009,BY-MA,BY-HO,45-49,234
2009,BY-MA,BY-HO,5-9,65
2009,BY-MA,BY-HO,50-54,184
2009,BY-MA,BY-HO,55-59,88
2009,BY-MA,BY-HO,60-64,25
2009,BY-MA,BY-HO,65-69,23
2009,BY-MA,BY-HO,70-74,19
2009,BY-MA,BY-HO,75-79,22
2009,BY-MA,BY-HO,80 и старше,55
2009,BY-MA,BY-HO,Возраст не определен,1
2009,BY-MA,BY-HR,0-4,21
2009,BY-MA,BY-HR,10-14,9
2009,BY-MA,BY-HR,15-19,213
2009,BY-MA,BY-HR,20-24,505
2009,BY-MA,BY-HR,25-29,165
2009,BY-MA,BY-HR,30-34,64
2009,BY-MA,BY-HR,35-39,58
2009,BY-MA,BY-HR,40-44,33
2009,BY-MA,BY-HR,45-49,37
2009,BY-MA,BY-HR,5-9,15
2009,BY-MA,BY-HR,50-54,25
2009,BY-MA,BY-HR,55-59,18
2009,BY-MA,BY-HR,60-64,12
2009,BY-MA,BY-HR,65-69,11
2009,BY-MA,BY-HR,70-74,11
2009,BY-MA,BY-HR,75-79,14
