territory_id,metric,year,value,dtype
r-smalavicki,wage_byn,2020,1294.9,d
r-smalavicki,wage_byn,2021,1598.8,d
r-smalavicki,wage_byn,2022,1842.2,d
r-smalavicki,wage_byn,2023,2202.3,d
r-smalavicki,wage_byn,2024,2617.2,d
r-smalavicki,wage_byn,2025,3083.5,d
r-smalavicki,employed_persons,2010,21442.0,d
r-smalavicki,employed_persons,2011,21627.0,d
r-smalavicki,employed_persons,2012,21821.0,d
r-smalavicki,employed_persons,2013,22844.0,d
r-smalavicki,employed_persons,2014,22974.0,d
r-smalavicki,employed_persons,2015,23358.0,d
r-smalavicki,employed_persons,2016,23673.0,d
r-smalavicki,employed_persons,2017,24536.0,d
r-smalavicki,employed_persons,2018,24864.0,d
r-smalavicki,employed_persons,2019,25514.0,d
r-smalavicki,employed_persons,2020,26556.0,d
r-smalavicki,employed_persons,2021,27210.0,d
r-smalavicki,employed_persons,2022,27071.0,d
r-smalavicki,employed_persons,2023,27183.0,d
r-smalavicki,employed_persons,2024,28274.0,d
r-smalavicki,k_oblast_coverage_2019,2019,1.1262,m
r-smalavicki,avg_pension_oblast_byn,2025,914.4,d
r-smalavicki,min_minutes_to_minsk,2026,42.4,d
r-smarhonski,wage_byn,2010,96.674,d
r-smarhonski,wage_byn,2011,151.8657,d
r-smarhonski,wage_byn,2012,302.8624,d
r-smarhonski,wage_byn,2013,437.1675,d
r-smarhonski,wage_byn,2014,530.3318,d
r-smarhonski,wage_byn,2015,557.2554,d
r-smarhonski,wage_byn,2016,598.7,d
r-smarhonski,wage_byn,2017,703.0,d
r-smarhonski,wage_byn,2018,798.2,d
r-smarhonski,wage_byn,2019,904.8,d
r-smarhonski,wage_byn,2020,1052.6,d
r-smarhonski,wage_byn,2021,1234.9,d
r-smarhonski,wage_byn,2022,1416.8,d
r-smarhonski,wage_byn,2023,1694.8,d
r-smarhonski,wage_byn,2024,1995.8,d
r-smarhonski,wage_byn,2025,2405.6,d
r-smarhonski,employed_persons,2010,23363.0,d
r-smarhonski,employed_persons,2011,23401.0,d
r-smarhonski,employed_persons,2012,22585.0,d
r-smarhonski,employed_persons,2013,22280.0,d
r-smarhonski,employed_persons,2014,21763.0,d
r-smarhonski,employed_persons,2015,21756.0,d
r-smarhonski,employed_persons,2016,21024.0,d
r-smarhonski,employed_persons,2017,21069.0,d
r-smarhonski,employed_persons,2018,21143.0,d
r-smarhonski,employed_persons,2019,21758.0,d
r-smarhonski,employed_persons,2020,21976.0,d
r-smarhonski,employed_persons,2021,21805.0,d
r-smarhonski,employed_persons,2022,21660.0,d
r-smarhonski,employed_persons,2023,20962.0,d
r-smarhonski,employed_persons,2024,20984.0,d
r-smarhonski,k_oblast_coverage_2019,2019,1.1456,m
r-smarhonski,avg_pension_oblast_byn,2025,905.8,d
