year,territory_id,age_group,sex,locality,pop
2019,BY-HO,60-64,t,rural,27592
2019,BY-HO,60-64,t,total,99528
2019,BY-HO,60-64,t,urban,71936
2019,BY-HO,65-69,f,rural,11048
2019,BY-HO,65-69,f,total,45293
2019,BY-HO,65-69,f,urban,34245
2019,BY-HO,65-69,m,rural,8531
2019,BY-HO,65-69,m,total,30167
2019,BY-HO,65-69,m,urban,21636
2019,BY-HO,65-69,t,rural,19579
2019,BY-HO,65-69,t,total,75460
2019,BY-HO,65-69,t,urban,55881
2019,BY-HO,70-74,f,rural,6864
2019,BY-HO,70-74,f,total,26729
2019,BY-HO,70-74,f,urban,19865
2019,BY-HO,70-74,m,rural,3810
2019,BY-HO,70-74,m,total,14643
2019,BY-HO,70-74,m,urban,10833
2019,BY-HO,70-74,t,rural,10674
2019,BY-HO,70-74,t,total,41372
2019,BY-HO,70-74,t,urban,30698
2019,BY-HO,75-79,f,rural,8416
2019,BY-HO,75-79,f,total,25592
2019,BY-HO,75-79,f,urban,17176
2019,BY-HO,75-79,m,rural,3166
2019,BY-HO,75-79,m,total,10138
2019,BY-HO,75-79,m,urban,6972
2019,BY-HO,75-79,t,rural,11582
2019,BY-HO,75-79,t,total,35730
2019,BY-HO,75-79,t,urban,24148
2019,BY-HO,80 +,f,rural,16040
2019,BY-HO,80 +,f,total,40965
2019,BY-HO,80 +,f,urban,24925
2019,BY-HO,80 +,m,rural,4622
2019,BY-HO,80 +,m,total,12433
2019,BY-HO,80 +,m,urban,7811
2019,BY-HO,80 +,t,rural,20662
2019,BY-HO,80 +,t,total,53398
2019,BY-HO,80 +,t,urban,32736
2019,BY-HR,0-4,f,rural,5556
2019,BY-HR,0-4,f,total,30988
2019,BY-HR,0-4,f,urban,25432
2019,BY-HR,0-4,m,rural,5904
2019,BY-HR,0-4,m,total,32411
2019,BY-HR,0-4,m,urban,26507
2019,BY-HR,0-4,t,rural,11460
2019,BY-HR,0-4,t,total,63399
2019,BY-HR,0-4,t,urban,51939
2019,BY-HR,10-14,f,rural,5852
2019,BY-HR,10-14,f,total,27459
2019,BY-HR,10-14,f,urban,21607
2019,BY-HR,10-14,m,rural,6079
2019,BY-HR,10-14,m,total,28897
2019,BY-HR,10-14,m,urban,22818
2019,BY-HR,10-14,t,rural,11931
2019,BY-HR,10-14,t,total,56356
2019,BY-HR,10-14,t,urban,44425
2019,BY-HR,15-19,f,rural,4028
2019,BY-HR,15-19,f,total,23455
2019,BY-HR,15-19,f,urban,19427
