territory_id,scenario,jumpoff,year,pop,q10,q90
c-akciabrski,optimistic,official,2061,6133,,
c-akciabrski,optimistic,official,2066,5980,,
c-akciabrski,optimistic,official,2071,5862,,
c-akciabrski,optimistic,official,2075,5796,,
c-antopal,base,official,2026,1369,,
c-antopal,base,official,2031,1255,,
c-antopal,base,official,2036,1149,,
c-antopal,base,official,2041,1054,,
c-antopal,base,official,2046,965,,
c-antopal,base,official,2051,879,,
c-antopal,base,official,2056,795,,
c-antopal,base,official,2061,717,,
c-antopal,base,official,2066,647,,
c-antopal,base,official,2071,585,,
c-antopal,base,official,2075,543,,
c-antopal,negative,official,2026,1369,,
c-antopal,negative,official,2031,1231,,
c-antopal,negative,official,2036,1098,,
c-antopal,negative,official,2041,981,,
c-antopal,negative,official,2046,874,,
c-antopal,negative,official,2051,771,,
c-antopal,negative,official,2056,676,,
c-antopal,negative,official,2061,588,,
c-antopal,negative,official,2066,509,,
c-antopal,negative,official,2071,441,,
c-antopal,negative,official,2075,393,,
c-antopal,optimistic,official,2026,1369,,
c-antopal,optimistic,official,2031,1260,,
c-antopal,optimistic,official,2036,1162,,
c-antopal,optimistic,official,2041,1081,,
c-antopal,optimistic,official,2046,1008,,
c-antopal,optimistic,official,2051,938,,
c-antopal,optimistic,official,2056,867,,
c-antopal,optimistic,official,2061,800,,
c-antopal,optimistic,official,2066,740,,
c-antopal,optimistic,official,2071,689,,
c-antopal,optimistic,official,2075,656,,
c-arechausk,base,official,2026,2202,,
c-arechausk,base,official,2031,1974,,
c-arechausk,base,official,2036,1760,,
c-arechausk,base,official,2041,1569,,
c-arechausk,base,official,2046,1394,,
c-arechausk,base,official,2051,1231,,
c-arechausk,base,official,2056,1076,,
c-arechausk,base,official,2061,937,,
c-arechausk,base,official,2066,813,,
c-arechausk,base,official,2071,707,,
c-arechausk,base,official,2075,633,,
c-arechausk,negative,official,2026,2202,,
c-arechausk,negative,official,2031,1937,,
c-arechausk,negative,official,2036,1686,,
c-arechausk,negative,official,2041,1466,,
c-arechausk,negative,official,2046,1265,,
c-arechausk,negative,official,2051,1081,,
c-arechausk,negative,official,2056,914,,
c-arechausk,negative,official,2061,764,,
c-arechausk,negative,official,2066,634,,
c-arechausk,negative,official,2071,523,,
c-arechausk,negative,official,2075,448,,
c-arechausk,optimistic,official,2026,2202,,
c-arechausk,optimistic,official,2031,1982,,
c-arechausk,optimistic,official,2036,1780,,
c-arechausk,optimistic,official,2041,1608,,
c-arechausk,optimistic,official,2046,1454,,
c-arechausk,optimistic,official,2051,1310,,
c-arechausk,optimistic,official,2056,1172,,
c-arechausk,optimistic,official,2061,1046,,
c-arechausk,optimistic,official,2066,933,,
c-arechausk,optimistic,official,2071,837,,
c-arechausk,optimistic,official,2075,772,,
c-ashmiany,base,official,2026,16721,,
c-ashmiany,base,official,2031,16629,,
c-ashmiany,base,official,2036,16480,,
c-ashmiany,base,official,2041,16317,,
c-ashmiany,base,official,2046,16010,,
c-ashmiany,base,official,2051,15549,,
c-ashmiany,base,official,2056,14935,,
c-ashmiany,base,official,2061,14278,,
c-ashmiany,base,official,2066,13593,,
c-ashmiany,base,official,2071,12924,,
c-ashmiany,base,official,2075,12409,,
c-ashmiany,negative,official,2026,16721,,
c-ashmiany,negative,official,2031,16282,,
c-ashmiany,negative,official,2036,15715,,
c-ashmiany,negative,official,2041,15157,,
c-ashmiany,negative,official,2046,14449,,
c-ashmiany,negative,official,2051,13607,,
c-ashmiany,negative,official,2056,12657,,
c-ashmiany,negative,official,2061,11676,,
c-ashmiany,negative,official,2066,10658,,
c-ashmiany,negative,official,2071,9681,,
c-ashmiany,negative,official,2075,8933,,
c-ashmiany,optimistic,official,2026,16721,,
c-ashmiany,optimistic,official,2031,16695,,
c-ashmiany,optimistic,official,2036,16674,,
c-ashmiany,optimistic,official,2041,16747,,
c-ashmiany,optimistic,official,2046,16730,,
c-ashmiany,optimistic,official,2051,16582,,
c-ashmiany,optimistic,official,2056,16281,,
c-ashmiany,optimistic,official,2061,15933,,
c-ashmiany,optimistic,official,2066,15570,,
c-ashmiany,optimistic,official,2071,15250,,
c-ashmiany,optimistic,official,2075,15027,,
c-asipovichy,base,official,2026,28715,,
c-asipovichy,base,official,2031,27245,,
c-asipovichy,base,official,2036,25701,,
c-asipovichy,base,official,2041,24205,,
c-asipovichy,base,official,2046,22701,,
c-asipovichy,base,official,2051,21173,,
c-asipovichy,base,official,2056,19626,,
c-asipovichy,base,official,2061,18058,,
c-asipovichy,base,official,2066,16571,,
c-asipovichy,base,official,2071,15192,,
c-asipovichy,base,official,2075,14238,,
c-asipovichy,negative,official,2026,28715,,
c-asipovichy,negative,official,2031,26611,,
c-asipovichy,negative,official,2036,24376,,
c-asipovichy,negative,official,2041,22299,,
c-asipovichy,negative,official,2046,20247,,
c-asipovichy,negative,official,2051,18206,,
c-asipovichy,negative,official,2056,16252,,
c-asipovichy,negative,official,2061,14342,,
c-asipovichy,negative,official,2066,12512,,
c-asipovichy,negative,official,2071,10858,,
c-asipovichy,negative,official,2075,9688,,
c-asipovichy,optimistic,official,2026,28715,,
c-asipovichy,optimistic,official,2031,27377,,
c-asipovichy,optimistic,official,2036,26046,,
c-asipovichy,optimistic,official,2041,24919,,
c-asipovichy,optimistic,official,2046,23841,,
c-asipovichy,optimistic,official,2051,22752,,
c-asipovichy,optimistic,official,2056,21629,,
c-asipovichy,optimistic,official,2061,20450,,
c-asipovichy,optimistic,official,2066,19351,,
c-asipovichy,optimistic,official,2071,18380,,
c-asipovichy,optimistic,official,2075,17770,,
c-astraviec,base,official,2026,15530,,
c-astraviec,base,official,2031,16360,,
