territory_id,oblast,year,age_group,sex,locality,pop
r-baranavicki,BY-BR,2019,50-54,f,rural,1080
r-baranavicki,BY-BR,2019,50-54,f,urban,62
r-baranavicki,BY-BR,2019,50-54,m,rural,1133
r-baranavicki,BY-BR,2019,50-54,m,urban,51
r-baranavicki,BY-BR,2019,55-59,f,rural,1281
r-baranavicki,BY-BR,2019,55-59,f,urban,81
r-baranavicki,BY-BR,2019,55-59,m,rural,1269
r-baranavicki,BY-BR,2019,55-59,m,urban,57
r-baranavicki,BY-BR,2019,60-64,f,rural,1312
r-baranavicki,BY-BR,2019,60-64,f,urban,100
r-baranavicki,BY-BR,2019,60-64,m,rural,1185
r-baranavicki,BY-BR,2019,60-64,m,urban,79
r-baranavicki,BY-BR,2019,65-69,f,rural,1028
r-baranavicki,BY-BR,2019,65-69,f,urban,73
r-baranavicki,BY-BR,2019,65-69,m,rural,778
r-baranavicki,BY-BR,2019,65-69,m,urban,42
r-baranavicki,BY-BR,2019,70-74,f,rural,856
r-baranavicki,BY-BR,2019,70-74,f,urban,49
r-baranavicki,BY-BR,2019,70-74,m,rural,523
r-baranavicki,BY-BR,2019,70-74,m,urban,21
r-baranavicki,BY-BR,2019,75-79,f,rural,815
r-baranavicki,BY-BR,2019,75-79,f,urban,48
r-baranavicki,BY-BR,2019,75-79,m,rural,352
r-baranavicki,BY-BR,2019,75-79,m,urban,13
r-baranavicki,BY-BR,2019,80 и старше,f,rural,1438
r-baranavicki,BY-BR,2019,Возраст не определен,f,rural,0
r-baranavicki,BY-BR,2019,80 и старше,f,urban,51
r-baranavicki,BY-BR,2019,80 и старше,m,rural,368
r-baranavicki,BY-BR,2019,Возраст не определен,m,rural,0
r-baranavicki,BY-BR,2019,80 и старше,m,urban,17
r-biarozauski,BY-BR,2019,0-4,f,rural,497
r-biarozauski,BY-BR,2019,0-4,f,urban,1289
r-biarozauski,BY-BR,2019,0-4,m,rural,565
r-biarozauski,BY-BR,2019,0-4,m,urban,1351
r-biarozauski,BY-BR,2019,5-9,f,rural,518
