country,year,age,birth_order,asfr_period
Belarus,1977,55+,4,0.0
Belarus,1977,55+,5p,0.0
Belarus,1977,55+,total,0.0
Belarus,1978,12-,1,0.0
Belarus,1978,12-,2,0.0
Belarus,1978,12-,3,0.0
Belarus,1978,12-,4,0.0
Belarus,1978,12-,5p,0.0
Belarus,1978,12-,total,0.0
Belarus,1978,20,1,0.13502
Belarus,1978,20,2,0.01638
Belarus,1978,20,3,0.00094
Belarus,1978,20,4,5e-05
Belarus,1978,20,5p,0.0
Belarus,1978,20,total,0.15239
Belarus,1978,30,1,0.01307
Belarus,1978,30,2,0.04349
Belarus,1978,30,3,0.01445
Belarus,1978,30,4,0.00462
Belarus,1978,30,5p,0.00306
Belarus,1978,30,total,0.07869
Belarus,1978,40,1,0.00149
Belarus,1978,40,2,0.00273
Belarus,1978,40,3,0.00257
Belarus,1978,40,4,0.00183
Belarus,1978,40,5p,0.00338
Belarus,1978,40,total,0.01199
Belarus,1978,50,1,0.0
Belarus,1978,50,2,0.0
Belarus,1978,50,3,0.0
Belarus,1978,50,4,0.0
Belarus,1978,50,5p,0.0
Belarus,1978,50,total,0.0
Belarus,1978,55+,1,0.0
Belarus,1978,55+,2,0.0
Belarus,1978,55+,3,0.0
Belarus,1978,55+,4,0.0
Belarus,1978,55+,5p,0.0
Belarus,1978,55+,total,0.0
Belarus,1979,12-,1,0.0
Belarus,1979,12-,2,0.0
Belarus,1979,12-,3,0.0
Belarus,1979,12-,4,0.0
Belarus,1979,12-,5p,0.0
Belarus,1979,12-,total,0.0
Belarus,1979,20,1,0.14087
Belarus,1979,20,2,0.01603
Belarus,1979,20,3,0.00101
Belarus,1979,20,4,1e-04
Belarus,1979,20,5p,1e-05
Belarus,1979,20,total,0.15803
Belarus,1979,30,1,0.01363
Belarus,1979,30,2,0.04526
Belarus,1979,30,3,0.01372
Belarus,1979,30,4,0.00485
Belarus,1979,30,5p,0.00345
Belarus,1979,30,total,0.0809
Belarus,1979,40,1,0.0012
Belarus,1979,40,2,0.00224
Belarus,1979,40,3,0.0023
Belarus,1979,40,4,0.00182
Belarus,1979,40,5p,0.003
Belarus,1979,40,total,0.01056
Belarus,1979,50,1,0.0
Belarus,1979,50,2,0.0
Belarus,1979,50,3,0.0
Belarus,1979,50,4,0.0
Belarus,1979,50,5p,0.0
Belarus,1979,50,total,0.0
Belarus,1979,55+,1,0.0
Belarus,1979,55+,2,0.0
Belarus,1979,55+,3,0.0
Belarus,1979,55+,4,0.0
Belarus,1979,55+,5p,0.0
Belarus,1979,55+,total,0.0
Belarus,1980,12-,1,0.0
Belarus,1980,12-,2,0.0
Belarus,1980,12-,3,0.0
Belarus,1980,12-,4,0.0
Belarus,1980,12-,5p,0.0
Belarus,1980,12-,total,0.0
Belarus,1980,20,1,0.14053
Belarus,1980,20,2,0.01573
Belarus,1980,20,3,0.00083
Belarus,1980,20,4,9e-05
Belarus,1980,20,5p,0.0
Belarus,1980,20,total,0.15717
Belarus,1980,30,1,0.01318
Belarus,1980,30,2,0.04374
Belarus,1980,30,3,0.01362
Belarus,1980,30,4,0.00396
Belarus,1980,30,5p,0.00273
Belarus,1980,30,total,0.07723
Belarus,1980,40,1,0.00128
Belarus,1980,40,2,0.00211
Belarus,1980,40,3,0.00209
Belarus,1980,40,4,0.00148
Belarus,1980,40,5p,0.00308
Belarus,1980,40,total,0.01004
Belarus,1980,50,1,0.0
Belarus,1980,50,2,0.0
Belarus,1980,50,3,0.0
Belarus,1980,50,4,0.0
Belarus,1980,50,5p,0.0
Belarus,1980,50,total,0.0
Belarus,1980,55+,1,0.0
Belarus,1980,55+,2,0.0
Belarus,1980,55+,3,0.0
Belarus,1980,55+,4,0.0
Belarus,1980,55+,5p,0.0
Belarus,1980,55+,total,0.0
Belarus,1981,12-,1,0.0
Belarus,1981,12-,2,0.0
Belarus,1981,12-,3,0.0
Belarus,1981,12-,4,0.0
Belarus,1981,12-,5p,0.0
Belarus,1981,12-,total,0.0
Belarus,1981,20,1,0.13798
Belarus,1981,20,2,0.01572
Belarus,1981,20,3,0.00091
Belarus,1981,20,4,5e-05
Belarus,1981,20,5p,0.0
Belarus,1981,20,total,0.15465
Belarus,1981,30,1,0.01293
Belarus,1981,30,2,0.04484
Belarus,1981,30,3,0.01429
Belarus,1981,30,4,0.00399
Belarus,1981,30,5p,0.00269
Belarus,1981,30,total,0.07874
