country,year,sex,age,type,central_death_rate,probability_of_death,average_survival_length,number_survivors,number_deaths,number_person_years_lived,number_person_years_remaining,life_expectancy
Belarus,1960,female,36,period,1.7,0.17,0.5,93712,159,93632,4047116,43.19
Belarus,1960,female,37,period,1.7,0.17,0.5,93552,159,93473,3953484,42.26
Belarus,1960,female,38,period,2.23,0.223,0.5,93394,208,93290,3860011,41.33
Belarus,1960,female,39,period,1.4100001,0.141,0.5,93186,132,93120,3766722,40.42
Belarus,1960,female,4,period,0.95,0.095,0.5,96320,92,96274,7094361,73.65
Belarus,1960,female,40,period,2.34,0.23399998,0.5,93054,218,92945,3673602,39.48
Belarus,1960,female,40-44,period,2.32,1.153,2.57,93054,1073,462664,3673602,39.48
Belarus,1960,female,41,period,1.71,0.171,0.5,92836,159,92757,3580657,38.57
Belarus,1960,female,42,period,2.8200002,0.282,0.5,92677,261,92546,3487900,37.63
Belarus,1960,female,43,period,2.15,0.214,0.5,92416,198,92317,3395354,36.74
Belarus,1960,female,44,period,2.57,0.257,0.5,92218,237,92099,3303037,35.82
Belarus,1960,female,45,period,3.16,0.315,0.5,91981,290,91836,3210938,34.91
Belarus,1960,female,45-49,period,3.23,1.601,2.53,91981,1473,456271,3210938,34.91
Belarus,1960,female,46,period,3.02,0.302,0.5,91691,277,91553,3119102,34.02
Belarus,1960,female,47,period,2.8999999,0.28899997,0.5,91415,265,91282,3027549,33.12
Belarus,1960,female,48,period,4.1800003,0.417,0.5,91150,380,90960,2936266,32.21
Belarus,1960,female,49,period,2.8899999,0.28800002,0.5,90770,262,90639,2845306,31.35
Belarus,1960,female,5,period,0.6,0.060000002,0.5,96228,57,96199,6998087,72.72
Belarus,1960,female,5-9,period,0.63,0.31300002,2.37,96228,301,480347,6998087,72.72
Belarus,1960,female,50,period,5.56,0.555,0.5,90508,502,90257,2754667,30.44
Belarus,1960,female,50-54,period,4.61,2.2810001,2.54,90508,2064,447455,2754667,30.44
Belarus,1960,female,51,period,2.8999999,0.29,0.5,90006,261,89875,2664410,29.6
Belarus,1960,female,52,period,4.53,0.452,0.5,89745,405,89542,2574535,28.69
Belarus,1960,female,53,period,5.06,0.505,0.5,89340,451,89114,2484993,27.82
Belarus,1960,female,54,period,5.02,0.5,0.5,88889,445,88666,2395878,26.95
Belarus,1960,female,55,period,7.75,0.773,0.5,88444,683,88102,2307212,26.09
Belarus,1960,female,55-59,period,6.37,3.13,2.33,88444,2768,434827,2307212,26.09
Belarus,1960,female,56,period,6.62,0.65999997,0.5,87761,579,87471,2219110,25.29
Belarus,1960,female,57,period,5.46,0.54399997,0.5,87182,475,86944,2131639,24.45
Belarus,1960,female,58,period,6.8199997,0.679,0.5,86707,589,86412,2044695,23.58
Belarus,1960,female,59,period,5.15,0.513,0.5,86118,442,85897,1958282,22.74
Belarus,1960,female,6,period,0.79999995,0.08,0.5,96171,77,96132,6901888,71.77
Belarus,1960,female,60,period,15.629999,1.551,0.5,85676,1329,85012,1872385,21.85
Belarus,1960,female,60-64,period,11.41,5.546,2.48,85676,4752,416420,1872385,21.85
Belarus,1960,female,61,period,5.28,0.526,0.5,84347,444,84125,1787374,21.19
Belarus,1960,female,62,period,11.31,1.124,0.5,83903,943,83432,1703248,20.3
Belarus,1960,female,63,period,12.74,1.2659999,0.5,82960,1050,82435,1619817,19.53
Belarus,1960,female,64,period,12.1,1.203,0.5,81910,985,81417,1537382,18.77
Belarus,1960,female,65,period,19.29,1.91,0.5,80924,1546,80151,1455965,17.99
Belarus,1960,female,65-69,period,15.59,7.486,2.37,80924,6058,388678,1455965,17.99
Belarus,1960,female,66,period,11.99,1.192,0.5,79378,946,78905,1375814,17.33
Belarus,1960,female,67,period,16.23,1.61,0.5,78432,1262,77801,1296909,16.54
Belarus,1960,female,68,period,17.880001,1.7720001,0.5,77170,1368,76486,1219108,15.8
Belarus,1960,female,69,period,12.419999,1.235,0.5,75802,936,75334,1142622,15.07
Belarus,1960,female,7,period,0.63,0.063,0.5,96094,61,96063,6805755,70.82
Belarus,1960,female,70,period,39.81,3.903,0.5,74866,2922,73405,1067287,14.26
Belarus,1960,female,70-74,period,31.7,14.707001,2.55,74866,11011,347374,1067287,14.26
Belarus,1960,female,71,period,13.209999,1.312,0.5,71944,944,71472,993882,13.81
Belarus,1960,female,72,period,30.89,3.042,0.5,71000,2160,69920,922410,12.99
Belarus,1960,female,73,period,38.66,3.793,0.5,68840,2611,67535,852490,12.38
Belarus,1960,female,74,period,36.49,3.583,0.5,66229,2373,65042,784956,11.85
Belarus,1960,female,75,period,56.38,5.483,0.5,63856,3501,62105,719913,11.27
Belarus,1960,female,75-79,period,48.859997,21.669,2.39,63856,13837,283209,719913,11.27
Belarus,1960,female,76,period,42.14,4.127,0.5,60354,2491,59109,657808,10.9
Belarus,1960,female,77,period,33.66,3.3100002,0.5,57864,1915,56906,598699,10.35
Belarus,1960,female,78,period,71.12,6.8680005,0.5,55948,3842,54027,541793,9.68
Belarus,1960,female,79,period,40.87,4.005,0.5,52106,2087,51062,487766,9.36
Belarus,1960,female,8,period,0.63,0.063,0.5,96033,61,96003,6709692,69.87
Belarus,1960,female,80,period,102.28,9.731,0.5,50019,4867,47585,436704,8.73
Belarus,1960,female,80-84,period,78.74,32.47,2.3,50019,16241,206255,436704,8.73
Belarus,1960,female,81,period,48.26,4.712,0.5,45152,2128,44088,389119,8.62
Belarus,1960,female,82,period,86.060005,8.251,0.5,43024,3550,41249,345031,8.02
Belarus,1960,female,83,period,72.659996,7.011,0.5,39474,2768,38091,303782,7.7
Belarus,1960,female,84,period,83.11,7.98,0.5,36707,2929,35242,265691,7.24
Belarus,1960,female,85,period,119.1,11.240001,0.5,33778,3797,31879,230449,6.82
Belarus,1960,female,85-89,period,110.25,42.172,2.21,33778,14245,129200,230449,6.82
Belarus,1960,female,86,period,103.189995,9.813001,0.5,29981,2942,28510,198569,6.62
Belarus,1960,female,87,period,112.04,10.61,0.5,27039,2869,25605,170059,6.29
Belarus,1960,female,88,period,123.71,11.65,0.5,24170,2816,22762,144455,5.98
Belarus,1960,female,89,period,89.09,8.529,0.5,21354,1821,20444,121692,5.7
Belarus,1960,female,9,period,0.47,0.047,0.5,95972,45,95950,6613689,68.91
Belarus,1960,female,90,period,243.08,21.674,0.5,19533,4234,17416,101249,5.18
Belarus,1960,female,90-94,period,178.64,58.082,1.99,19533,11345,63508,101249,5.18
Belarus,1960,female,91,period,143.11,13.356,0.5,15299,2043,14278,83832,5.48
Belarus,1960,female,92,period,151.42,14.077001,0.5,13256,1866,12323,69555,5.25
Belarus,1960,female,93,period,160.12999,14.826,0.5,11390,1689,10546,57231,5.02
Belarus,1960,female,94,period,169.23,15.603,0.5,9701,1514,8945,46686,4.81
Belarus,1960,female,95,period,178.73999,16.407999,0.5,8188,1343,7516,37741,4.61
Belarus,1960,female,95-99,period,195.32999,63.231,2.21,8188,5177,26505,37741,4.61
Belarus,1960,female,96,period,188.67,17.24,0.5,6844,1180,6254,30225,4.42
Belarus,1960,female,97,period,199.01,18.099998,0.5,5664,1025,5152,23971,4.23
Belarus,1960,female,98,period,209.76999,18.986,0.5,4639,881,4199,18819,4.06
Belarus,1960,female,99,period,220.96,19.897001,0.5,3758,748,3384,14620,3.89
Belarus,1960,male,0,period,40.05,3.874,0.16,100000,3874,96741,6791584,67.92
Belarus,1960,male,1,period,4.2599998,0.425,0.5,96126,409,95921,6694843,69.65
Belarus,1960,male,1-4,period,2.08,0.827,1.36,96126,795,382401,6694843,69.65
Belarus,1960,male,10,period,1.0,0.099,0.5,94957,94,94910,5836739,61.47
