zone_id,year,dn_sum,lit_km2
r-minski,2015,66093.0,1533.661
r-miadzielski,2015,571.0,42.118
r-niasvizhski,2015,3220.0,162.67
r-puchavicki,2015,4491.0,205.316
r-salihorski,2015,7546.0,246.081
r-slucki,2015,4337.0,172.285
r-smalavicki,2015,14097.0,599.618
r-staradarozhski,2015,792.0,30.529
r-staubcouski,2015,2449.0,98.327
r-uzdzienski,2015,1966.0,97.221
r-chervienski,2015,1662.0,96.725
r-asipovicki,2015,1300.0,65.774
r-babrujski,2015,6581.0,158.434
r-bychauski,2015,950.0,56.315
r-bialynicki,2015,322.0,23.278
r-hluski,2015,210.0,16.093
r-horacki,2015,1392.0,64.308
r-drybinski,2015,0.0,0.0
r-kasciukovicki,2015,1525.0,81.183
r-kirauski,2015,440.0,27.293
r-klimavicki,2015,580.0,39.327
r-klichauski,2015,259.0,19.969
r-krasnapolski,2015,1462.0,64.288
r-kruhlanski,2015,145.0,10.559
r-krychauski,2015,2770.0,98.81
r-mahilouski,2015,17517.0,463.632
r-mscislauski,2015,597.0,39.994
r-slauharadski,2015,198.0,13.84
r-chocimski,2015,156.0,11.799
r-chavuski,2015,336.0,25.924
r-cherykauski,2015,192.0,14.308
r-shklouski,2015,2046.0,94.579
BY-HM,2015,25617.0,215.072
BY,2015,445627.0,14439.788
r-baranavicki,2016,11185.0,320.012
r-brescki,2016,21886.0,459.12
r-biarozauski,2016,4020.0,177.017
r-hancavicki,2016,492.0,28.124
r-drahichynski,2016,414.0,31.657
r-zhabinkauski,2016,1525.0,79.152
r-ivanauski,2016,1649.0,62.801
r-ivacevicki,2016,2007.0,88.655
r-kamianiecki,2016,1648.0,94.58
r-kobrynski,2016,3098.0,129.223
r-luniniecki,2016,3501.0,138.624
r-lachavicki,2016,230.0,18.082
r-malarycki,2016,702.0,47.933
r-pinski,2016,6789.0,266.347
r-pruzhanski,2016,960.0,65.923
r-stolinski,2016,1195.0,93.253
r-arshanski,2016,18819.0,594.969
r-bieshankovicki,2016,478.0,34.511
r-braslauski,2016,682.0,38.374
r-vierchniadzvinski,2016,1566.0,80.845
r-viciebski,2016,38134.0,911.509
r-haradocki,2016,2193.0,115.38
r-hlybocki,2016,2363.0,103.787
r-dokshycki,2016,2068.0,91.157
r-dubrovienski,2016,3842.0,165.305
r-loznienski,2016,3280.0,167.672
r-lepielski,2016,3957.0,140.059
r-mijorski,2016,1602.0,80.705
r-pastauski,2016,1177.0,59.056
r-polacki,2016,23333.0,568.464
r-rasonski,2016,352.0,19.781
r-siennienski,2016,1679.0,78.348
r-talachynski,2016,1628.0,113.63
r-ushacki,2016,132.0,10.811
r-chashnicki,2016,1657.0,71.108
r-sharkoushchynski,2016,523.0,29.837
r-shumilinski,2016,1701.0,82.298
r-akciabrski,2016,839.0,44.916
r-brahinski,2016,227.0,18.125
r-buda-kashalouski,2016,3680.0,235.417
r-vietkauski,2016,926.0,65.348
r-homielski,2016,37498.0,1018.255
r-dobrushski,2016,1588.0,83.088
r-jelski,2016,1184.0,63.859
r-zhlobinski,2016,11908.0,289.332
r-zhytkavicki,2016,598.0,43.272
r-kalinkavicki,2016,2280.0,75.993
r-karmianski,2016,1710.0,103.272
r-lelchycki,2016,377.0,23.992
r-lojeuski,2016,442.0,33.937
r-mazyrski,2016,12047.0,327.13
r-naraulanski,2016,822.0,58.539
r-pietrykauski,2016,715.0,55.404
r-rahachouski,2016,2747.0,108.557
r-rechycki,2016,8400.0,288.781
r-svietlahorski,2016,7092.0,206.894
r-chojnicki,2016,619.0,36.11
r-chacherski,2016,266.0,18.682
r-astraviecki,2016,6642.0,241.252
r-ashmianski,2016,1714.0,81.046
r-bierastavicki,2016,466.0,25.805
r-vaukavyski,2016,3003.0,114.974
r-voranauski,2016,751.0,53.368
r-hrodzienski,2016,20898.0,571.564
r-dziatlauski,2016,422.0,27.665
r-zelvienski,2016,318.0,22.192
r-iujeuski,2016,844.0,49.114
r-karelicki,2016,218.0,16.371
r-lidski,2016,4872.0,176.034
r-mastouski,2016,435.0,28.216
r-navahrudski,2016,1540.0,59.736
r-svislacki,2016,358.0,24.843
r-slonimski,2016,3512.0,133.897
r-smarhonski,2016,3344.0,147.497
r-shchuchynski,2016,911.0,56.11
r-barysauski,2016,25109.0,818.949
r-biarezinski,2016,3029.0,189.026
r-valozhynski,2016,2225.0,151.071
r-vilejski,2016,4457.0,267.812
r-dziarzhynski,2016,12750.0,473.861
r-kapylski,2016,1480.0,89.858
r-klecki,2016,633.0,40.902
r-krupski,2016,4013.0,248.78
r-lahojski,2016,10200.0,534.606
r-lubanski,2016,1660.0,93.601
r-maladziechanski,2016,10610.0,396.71
r-minski,2016,87235.0,1703.194
r-miadzielski,2016,1179.0,84.3
r-niasvizhski,2016,4690.0,223.413
r-puchavicki,2016,10223.0,497.382
r-salihorski,2016,11659.0,426.613
r-slucki,2016,7688.0,319.148
r-smalavicki,2016,26644.0,947.57
r-staradarozhski,2016,1661.0,55.357
r-staubcouski,2016,3422.0,134.67
r-uzdzienski,2016,2646.0,147.356
r-chervienski,2016,5381.0,279.385
r-asipovicki,2016,2875.0,116.614
r-babrujski,2016,10472.0,296.35
r-bychauski,2016,1420.0,71.118
r-bialynicki,2016,511.0,33.913
r-hluski,2016,277.0,21.284
r-horacki,2016,2170.0,94.969
r-drybinski,2016,0.0,0.0
r-kasciukovicki,2016,1502.0,67.769
r-kirauski,2016,1052.0,57.181
r-klimavicki,2016,881.0,55.147
r-klichauski,2016,679.0,43.521
r-krasnapolski,2016,0.0,0.0
r-kruhlanski,2016,166.0,12.068
r-krychauski,2016,3158.0,151.782
r-mahilouski,2016,26867.0,746.12
r-mscislauski,2016,727.0,50.609
r-slauharadski,2016,238.0,17.941
r-chocimski,2016,163.0,12.312
r-chavuski,2016,389.0,29.482
r-cherykauski,2016,355.0,21.974
r-shklouski,2016,4268.0,219.897
BY-HM,2016,26364.0,215.072
BY,2016,644261.0,21218.297
r-baranavicki,2017,9693.0,353.057
r-brescki,2017,22129.0,576.089
r-biarozauski,2017,3879.0,200.574
r-hancavicki,2017,444.0,30.729
r-drahichynski,2017,657.0,50.649
r-zhabinkauski,2017,2008.0,128.245
r-ivanauski,2017,1303.0,68.076
r-ivacevicki,2017,2433.0,122.504
r-kamianiecki,2017,2235.0,133.453
r-kobrynski,2017,3473.0,181.962
r-luniniecki,2017,4356.0,207.685
r-lachavicki,2017,843.0,66.695
r-malarycki,2017,876.0,63.387
r-pinski,2017,5607.0,218.108
r-pruzhanski,2017,1807.0,131.132
r-stolinski,2017,2208.0,169.498
r-arshanski,2017,21928.0,669.087
r-bieshankovicki,2017,393.0,30.076
r-braslauski,2017,795.0,52.464
r-vierchniadzvinski,2017,2088.0,124.883
r-viciebski,2017,34044.0,887.81
r-haradocki,2017,1992.0,135.276
r-hlybocki,2017,2334.0,123.475
r-dokshycki,2017,2124.0,109.468
r-dubrovienski,2017,3862.0,216.63
r-loznienski,2017,3026.0,190.781
r-lepielski,2017,4075.0,180.13
r-mijorski,2017,1771.0,100.146
r-pastauski,2017,1171.0,74.315
r-polacki,2017,23273.0,604.089
r-rasonski,2017,406.0,25.572
r-siennienski,2017,2364.0,136.894
r-talachynski,2017,2072.0,152.694
r-ushacki,2017,174.0,14.251
r-chashnicki,2017,1857.0,101.922
r-sharkoushchynski,2017,638.0,41.089
r-shumilinski,2017,1842.0,105.801
r-akciabrski,2017,843.0,57.454
r-brahinski,2017,454.0,35.739
r-buda-kashalouski,2017,3421.0,257.87
r-vietkauski,2017,1409.0,114.517
r-homielski,2017,35452.0,1205.482
r-dobrushski,2017,1908.0,122.475
r-jelski,2017,1276.0,87.28
r-zhlobinski,2017,9083.0,294.585
r-zhytkavicki,2017,1009.0,76.543
r-kalinkavicki,2017,2617.0,154.32
r-karmianski,2017,887.0,58.872
r-lelchycki,2017,571.0,43.18
r-lojeuski,2017,334.0,26.486
r-mazyrski,2017,11964.0,399.762
r-naraulanski,2017,1480.0,106.961
r-pietrykauski,2017,1255.0,92.351
r-rahachouski,2017,1627.0,85.297
r-rechycki,2017,8037.0,398.72
r-svietlahorski,2017,5797.0,242.996
r-chojnicki,2017,794.0,56.824
r-chacherski,2017,332.0,25.948
r-astraviecki,2017,5355.0,256.256
r-ashmianski,2017,1638.0,98.073
r-bierastavicki,2017,703.0,45.879
r-vaukavyski,2017,3370.0,156.206
r-voranauski,2017,1014.0,75.024
r-hrodzienski,2017,23720.0,813.573
r-dziatlauski,2017,822.0,55.379
r-zelvienski,2017,499.0,29.934
r-iujeuski,2017,855.0,57.763
r-karelicki,2017,352.0,28.134
r-lidski,2017,6025.0,245.117
r-mastouski,2017,945.0,52.32
r-navahrudski,2017,1661.0,71.478
r-svislacki,2017,860.0,67.869
r-slonimski,2017,3911.0,176.288
r-smarhonski,2017,3456.0,162.468
r-shchuchynski,2017,1691.0,92.301
r-barysauski,2017,22659.0,813.024
r-biarezinski,2017,1886.0,141.279
r-valozhynski,2017,2666.0,190.078
r-vilejski,2017,2507.0,163.933
r-dziarzhynski,2017,11063.0,440.731
r-kapylski,2017,1480.0,95.585
r-klecki,2017,776.0,57.47
r-krupski,2017,4915.0,340.477
r-lahojski,2017,10495.0,638.067
r-lubanski,2017,2006.0,127.92
r-maladziechanski,2017,9358.0,406.79
r-minski,2017,73962.0,1620.735
r-miadzielski,2017,567.0,41.698
r-niasvizhski,2017,4478.0,248.141
r-puchavicki,2017,7559.0,416.728
r-salihorski,2017,11330.0,481.831
r-slucki,2017,6110.0,334.617
r-smalavicki,2017,21874.0,895.302
r-staradarozhski,2017,1392.0,66.738
r-staubcouski,2017,2633.0,162.311
r-uzdzienski,2017,2256.0,131.53
r-chervienski,2017,3879.0,245.451
r-asipovicki,2017,2028.0,107.389
r-babrujski,2017,8562.0,327.891
r-bychauski,2017,1224.0,79.305
r-bialynicki,2017,604.0,45.04
r-hluski,2017,0.0,0.0
r-horacki,2017,1886.0,105.516
r-drybinski,2017,0.0,0.0
r-kasciukovicki,2017,1757.0,112.989
r-kirauski,2017,1346.0,93.758
r-klimavicki,2017,996.0,73.536
r-klichauski,2017,648.0,47.624
r-krasnapolski,2017,54.0,4.122
r-kruhlanski,2017,258.0,19.608
r-krychauski,2017,2538.0,157.884
r-mahilouski,2017,20969.0,662.457
r-mscislauski,2017,1306.0,97.648
r-slauharadski,2017,0.0,0.0
r-chocimski,2017,323.0,27.19
r-chavuski,2017,526.0,42.195
r-cherykauski,2017,408.0,30.661
r-shklouski,2017,3788.0,234.417
BY-HM,2017,25948.0,215.072
BY,2017,607472.0,23858.166
r-baranavicki,2018,13281.0,454.706
r-brescki,2018,24725.0,591.122
r-biarozauski,2018,6151.0,234.659
r-hancavicki,2018,849.0,46.92
r-drahichynski,2018,851.0,55.94
r-zhabinkauski,2018,2523.0,149.868
r-ivanauski,2018,2277.0,105.064
r-ivacevicki,2018,3367.0,135.524
r-kamianiecki,2018,2749.0,168.113
r-kobrynski,2018,5178.0,225.769
r-luniniecki,2018,7089.0,256.165
r-lachavicki,2018,1178.0,90.994
r-malarycki,2018,1265.0,84.163
r-pinski,2018,9023.0,303.054
r-pruzhanski,2018,1909.0,123.807
r-stolinski,2018,3389.0,224.603
r-arshanski,2018,31398.0,921.979
r-bieshankovicki,2018,1092.0,74.913
r-braslauski,2018,1071.0,58.787
r-vierchniadzvinski,2018,2933.0,141.826
r-viciebski,2018,50623.0,1193.359
r-haradocki,2018,4483.0,205.402
r-hlybocki,2018,4565.0,182.548
r-dokshycki,2018,3854.0,151.082
r-dubrovienski,2018,6781.0,300.312
r-loznienski,2018,5333.0,249.02
r-lepielski,2018,6374.0,228.628
r-mijorski,2018,2776.0,118.094
r-pastauski,2018,1537.0,80.707
r-polacki,2018,30347.0,739.555
r-rasonski,2018,670.0,34.26
r-siennienski,2018,3669.0,143.799
r-talachynski,2018,3734.0,212.219
r-ushacki,2018,233.0,16.216
r-chashnicki,2018,3157.0,128.701
r-sharkoushchynski,2018,811.0,38.645
r-shumilinski,2018,3851.0,178.784
r-akciabrski,2018,2380.0,130.535
r-brahinski,2018,500.0,36.833
r-buda-kashalouski,2018,7056.0,443.093
r-vietkauski,2018,2293.0,170.904
r-homielski,2018,52061.0,1327.121
r-dobrushski,2018,3392.0,190.88
r-jelski,2018,2688.0,136.203
r-zhlobinski,2018,13482.0,379.231
r-zhytkavicki,2018,1656.0,102.375
r-kalinkavicki,2018,4146.0,150.583
r-karmianski,2018,2245.0,154.409
r-lelchycki,2018,783.0,45.842
r-lojeuski,2018,798.0,54.612
r-mazyrski,2018,20183.0,496.291
r-naraulanski,2018,2267.0,127.711
r-pietrykauski,2018,1290.0,89.183
r-rahachouski,2018,3079.0,143.709
r-rechycki,2018,12665.0,490.38
r-svietlahorski,2018,8824.0,294.175
r-chojnicki,2018,1077.0,52.561
r-chacherski,2018,415.0,29.583
r-astraviecki,2018,7854.0,334.817
