scenario,city_id,epoch,fixed_cells,core_cells,built_fixed_m2,built_core_m2,built_edge_m2,built_buffer_m2
t05_c0,c-vietka,1980,2019,353,704267.0,620248.0,47280.0,36739.0
t05_c0,c-vilejka,1980,3580,713,1710708.0,1434487.0,137528.0,138693.0
t05_c0,c-zaslauje,1980,3097,173,1121948.0,507266.0,423652.0,191030.0
t05_c0,c-zhabinka,1980,2499,268,945194.0,520088.0,218467.0,206639.0
t05_c0,c-zhlobin,1980,6538,1231,4178829.0,2715135.0,1274312.0,189382.0
t05_c0,c-zhodzina,1980,3690,510,2115202.0,1408220.0,479461.0,227521.0
t05_c0,c-zhytkavichy,1980,2933,512,1275034.0,935884.0,204199.0,134951.0
t05_c0,c-ashmiany,1985,2717,379,1174975.0,790835.0,271351.0,112789.0
t05_c0,c-asipovichy,1985,4246,871,2486867.0,2029069.0,380539.0,77259.0
t05_c0,c-astraviec,1985,2121,298,649480.0,504567.0,70537.0,74376.0
t05_c0,c-babrujsk,1985,11046,3456,10766469.0,9449493.0,1146804.0,170172.0
t05_c0,c-baran,1985,1193,134,426957.0,267313.0,39741.0,119903.0
t05_c0,c-baranavichy,1985,9182,2871,8930987.0,7770346.0,793658.0,366983.0
t05_c0,c-barysau,1985,7192,2320,6895057.0,6103360.0,298067.0,493630.0
t05_c0,c-bialynichy,1985,2045,299,776396.0,523028.0,161533.0,91835.0
t05_c0,c-biaroza,1985,2970,335,1380016.0,705255.0,392023.0,282738.0
t05_c0,c-biarozauka,1985,1618,300,695471.0,602020.0,26393.0,67058.0
t05_c0,c-bielaaziorsk,1985,2902,335,1024407.0,549775.0,194678.0,279954.0
t05_c0,c-bierazino,1985,2929,384,1077146.0,709682.0,308400.0,59064.0
t05_c0,c-braslau,1985,2312,198,739980.0,382290.0,217112.0,140578.0
t05_c0,c-brest,1985,12137,3176,10052031.0,8172848.0,1422702.0,456481.0
t05_c0,c-bychau,1985,3131,530,1420423.0,1007437.0,298229.0,114757.0
t05_c0,c-chashniki,1985,1955,241,651716.0,416044.0,80503.0,155169.0
t05_c0,c-chavusy,1985,1641,254,582746.0,434230.0,45498.0,103018.0
t05_c0,c-chervien,1985,2697,285,667785.0,391188.0,192118.0,84479.0
t05_c0,c-chojniki,1985,3456,281,1211094.0,490194.0,562279.0,158621.0
t05_c0,c-dobrush,1985,3615,354,1743546.0,700237.0,895451.0,147858.0
t05_c0,c-drahichyn,1985,2922,416,1069438.0,746366.0,190567.0,132505.0
t05_c0,c-dziarzhynsk,1985,3327,402,1070954.0,748720.0,247226.0,75008.0
t05_c0,c-fanipal,1985,2293,113,813388.0,330096.0,271149.0,212143.0
t05_c0,c-hancavichy,1985,2565,257,1057509.0,548166.0,426267.0,83076.0
t05_c0,c-haradok,1985,1223,140,521661.0,237333.0,19918.0,264410.0
t05_c0,c-hlybokaje,1985,3473,722,1744459.0,1560673.0,125593.0,58193.0
t05_c0,c-homiel,1985,14159,5163,16066681.0,14011250.0,1604040.0,451391.0
t05_c0,c-horki,1985,3955,367,1710168.0,798738.0,813600.0,97830.0
t05_c0,c-hrodna,1985,15417,1592,11538902.0,4331366.0,6502725.0,704811.0
t05_c0,c-ivacevichy,1985,3541,530,1573034.0,1158527.0,296498.0,118009.0
t05_c0,c-ivanava,1985,3921,493,1289876.0,935490.0,318522.0,35864.0
t05_c0,c-jelsk,1985,2431,111,658978.0,167099.0,403187.0,88692.0
t05_c0,c-kalinkavichy,1985,3961,906,2526897.0,2124825.0,344140.0,57932.0
t05_c0,c-kapyl,1985,2137,151,621453.0,259317.0,319815.0,42321.0
t05_c0,c-kasciukovichy,1985,1674,315,960530.0,579838.0,35754.0,344938.0
t05_c0,c-kleck,1985,2342,271,1090531.0,699788.0,340903.0,49840.0
t05_c0,c-klimavichy,1985,3636,257,1679351.0,441073.0,1004442.0,233836.0
t05_c0,c-kobryn,1985,5950,538,3618483.0,1298076.0,1940969.0,379438.0
t05_c0,c-krychau,1985,5068,633,2871362.0,1562403.0,1138248.0,170711.0
t05_c0,c-lachavichy,1985,1628,212,612997.0,406112.0,57935.0,148950.0
t05_c0,c-lahojsk,1985,2259,136,642508.0,182627.0,299387.0,160494.0
t05_c0,c-lelchycy,1985,2315,315,772321.0,557962.0,158339.0,56020.0
t05_c0,c-lepiel,1985,3524,540,1551270.0,1176729.0,278781.0,95760.0
t05_c0,c-lida,1985,5510,1345,3881739.0,3156583.0,343195.0,381961.0
t05_c0,c-luban,1985,2132,300,752109.0,492191.0,136561.0,123357.0
