scenario,city_id,epoch,seed_found,footprint_cells,built_dyn_m2,perimeter_edges,merged_with
t05_c0,c-biarozauka,1985,1,311,608936.0,210,
t05_c0,c-bielaaziorsk,1985,1,361,567200.0,450,
t05_c0,c-bierazino,1985,1,404,723046.0,304,
t05_c0,c-braslau,1985,1,268,480101.0,282,
t05_c0,c-brest,1985,1,3373,8354492.0,2024,
t05_c0,c-bychau,1985,1,632,1116269.0,662,
t05_c0,c-chashniki,1985,1,270,434512.0,264,
t05_c0,c-chavusy,1985,1,285,459251.0,316,
t05_c0,c-chervien,1985,1,310,406345.0,436,
t05_c0,c-chojniki,1985,1,325,521606.0,380,
t05_c0,c-dobrush,1985,1,472,865113.0,420,
t05_c0,c-drahichyn,1985,1,456,775266.0,354,
t05_c0,c-dziarzhynsk,1985,1,497,873261.0,614,
t05_c0,c-fanipal,1985,1,139,380604.0,124,
t05_c0,c-hancavichy,1985,1,438,811510.0,448,
t05_c0,c-haradok,1985,1,152,244727.0,158,
t05_c0,c-hlybokaje,1985,1,786,1622128.0,600,
t05_c0,c-homiel,1985,1,5709,14621236.0,2946,
t05_c0,c-horki,1985,1,434,846069.0,378,
t05_c0,c-hrodna,1985,1,1812,4571132.0,1152,
t05_c0,c-ivacevichy,1985,1,550,1172524.0,418,
t05_c0,c-ivanava,1985,1,537,963115.0,500,
t05_c0,c-jelsk,1985,1,244,325401.0,388,
t05_c0,c-kalinkavichy,1985,1,1141,2372631.0,822,
t05_c0,c-kapyl,1985,1,319,517686.0,342,
t05_c0,c-kasciukovichy,1985,1,332,591670.0,216,
t05_c0,c-kleck,1985,1,298,718275.0,180,
t05_c0,c-klimavichy,1985,1,593,1036713.0,604,
t05_c0,c-kobryn,1985,1,599,1349505.0,410,
t05_c0,c-krychau,1985,1,668,1609356.0,402,
t05_c0,c-lachavichy,1985,1,221,412561.0,166,
t05_c0,c-lahojsk,1985,1,152,196559.0,210,
t05_c0,c-lelchycy,1985,1,363,599142.0,430,
t05_c0,c-lepiel,1985,1,592,1218236.0,422,
t05_c0,c-lida,1985,1,1461,3267411.0,1062,
t05_c0,c-luban,1985,1,346,521850.0,298,
t05_c0,c-luniniec,1985,1,684,1234937.0,528,
t05_c0,c-machulishchy,1985,1,40,48823.0,54,
t05_c0,c-mahilou,1985,1,2963,7288622.0,1992,
t05_c0,c-maladziechna,1985,1,2097,5045271.0,1334,
t05_c0,c-malaryta,1985,1,366,627699.0,368,
t05_c0,c-marjina-horka,1985,1,411,685402.0,488,
t05_c0,c-masty,1985,1,115,179326.0,120,
t05_c0,c-mazyr,1985,1,569,1070913.0,736,
t05_c0,c-mikashevichy,1985,1,295,438554.0,392,
t05_c0,c-minsk,1985,1,11355,29301817.0,5710,
t05_c0,c-mscislau,1985,1,438,760607.0,356,
t05_c0,c-naroula,1985,1,242,364185.0,242,
t05_c0,c-navahrudak,1985,1,750,1472260.0,700,
t05_c0,c-navapolack,1985,1,403,749489.0,338,
t05_c0,c-niasvizh,1985,1,256,411559.0,244,
t05_c0,c-novalukoml,1985,1,110,247690.0,112,
t05_c0,c-orsha,1985,1,2046,4804949.0,1226,
t05_c0,c-pastavy,1985,1,717,1335515.0,664,
t05_c0,c-pietrykau,1985,1,370,714981.0,318,
t05_c0,c-pinsk,1985,1,2196,5391419.0,1260,
t05_c0,c-polack,1985,1,978,1977715.0,732,
t05_c0,c-pruzhany,1985,1,550,1153287.0,372,
t05_c0,c-rahachou,1985,1,713,1669934.0,356,
t05_c0,c-rechyca,1985,1,2086,5019660.0,1204,
t05_c0,c-salihorsk,1985,1,533,1208159.0,310,
